alert_level,latitude,longitude,flood_risk_score,elevation_m,relative_depression_m,terrain_evidence_count,forecast_max_1h_mm,forecast_max_3h_mm,forecast_max_12h_mm,local_advisory_3h_mm,local_advisory_12h_mm,local_warning_3h_mm,local_warning_12h_mm,forecast_source_latitude,forecast_source_longitude,forecast_status,message
정상,35.8031961172245,127.16691970825192,91.85780428365037,54.0,69.90587615966797,2.0,2.9,4.8,5.0,36.57706348596196,67.05794972426358,54.86559522894294,109.73119045788587,35.8,127.17,지점 격자 예보,"[정상] 3시간 최대 4.8mm / 지역 주의기준 36.6mm, 12시간 최대 5.0mm / 지역 주의기준 67.1mm."
정상,35.7876016410509,127.19575881958006,91.11853819586167,71.0,49.77842712402344,2.0,2.9,4.8,5.0,36.6657754164966,67.2205882635771,54.998663124744894,109.99732624948979,35.79,127.2,지점 격자 예보,"[정상] 3시간 최대 4.8mm / 지역 주의기준 36.7mm, 12시간 최대 5.0mm / 지역 주의기준 67.2mm."
정상,35.81878753246268,127.19575881958006,87.12147946123956,99.0,70.53561401367188,2.0,2.9,4.8,5.0,37.145422464651254,68.09994118519397,55.71813369697688,111.43626739395376,35.82,127.2,지점 격자 예보,"[정상] 3시간 최대 4.8mm / 지역 주의기준 37.1mm, 12시간 최대 5.0mm / 지역 주의기준 68.1mm."
정상,35.79539926171999,127.19575881958006,82.50709887133367,69.0,37.412330627441406,2.0,2.9,4.8,5.0,37.69914813543996,69.11510491497326,56.54872220315994,113.09744440631988,35.8,127.2,지점 격자 예보,"[정상] 3시간 최대 4.8mm / 지역 주의기준 37.7mm, 12시간 최대 5.0mm / 지역 주의기준 69.1mm."
정상,35.772004104496354,127.08726882934567,80.72061628892484,52.0,29.65752410888672,2.0,2.3,3.5999999999999996,3.9,37.91352604532902,69.5081310831032,56.870289067993525,113.74057813598705,35.77,127.09,지점 격자 예보,"[정상] 3시간 최대 3.6mm / 지역 주의기준 37.9mm, 12시간 최대 3.9mm / 지역 주의기준 69.5mm."
정상,35.82658209205795,127.17653274536131,80.50631052030215,68.0,32.228240966796875,2.0,3.3,5.9,5.9,37.93924273756374,69.55527835220019,56.90886410634561,113.81772821269122,35.83,127.18,지점 격자 예보,"[정상] 3시간 최대 5.9mm / 지역 주의기준 37.9mm, 12시간 최대 5.9mm / 지역 주의기준 69.6mm."
정상,35.75640350811643,127.08726882934567,80.24071442855667,116.0,43.48533630371094,2.0,2.3,3.5999999999999996,3.9,37.971114268573196,69.6137094923842,56.9566714028598,113.9133428057196,35.76,127.09,지점 격자 예보,"[정상] 3시간 최대 3.6mm / 지역 주의기준 38.0mm, 12시간 최대 3.9mm / 지역 주의기준 69.6mm."
정상,35.7642041887498,127.08726882934567,80.1020199870304,77.0,34.237884521484375,2.0,2.3,3.5999999999999996,3.9,37.987757601556346,69.64422226951997,56.98163640233452,113.96327280466905,35.76,127.09,지점 격자 예보,"[정상] 3시간 최대 3.6mm / 지역 주의기준 38.0mm, 12시간 최대 3.9mm / 지역 주의기준 69.6mm."
정상,35.83437588621187,127.1861457824707,79.14018776583232,72.0,35.84922790527344,2.0,3.3,5.9,5.9,38.10317746810012,69.85582535818355,57.154766202150185,114.30953240430037,35.83,127.19,지점 격자 예보,"[정상] 3시간 최대 5.9mm / 지역 주의기준 38.1mm, 12시간 최대 5.9mm / 지역 주의기준 69.9mm."
정상,35.81099220749514,127.15730667114256,78.3846909335451,44.0,24.685134887695312,2.0,2.9,4.8,5.0,38.193837087974586,70.02203466128674,57.29075563196188,114.58151126392376,35.81,127.16,지점 격자 예보,"[정상] 3시간 최대 4.8mm / 지역 주의기준 38.2mm, 12시간 최대 5.0mm / 지역 주의기준 70.0mm."
정상,35.81878753246268,127.08726882934567,76.17229725575417,40.0,23.59821319580078,2.0,1.0,1.5,1.5999999999999999,38.459324329309496,70.50876127040074,57.688986493964244,115.37797298792849,35.82,127.09,지점 격자 예보,"[정상] 3시간 최대 1.5mm / 지역 주의기준 38.5mm, 12시간 최대 1.6mm / 지역 주의기준 70.5mm."
정상,35.772004104496354,127.12846755981444,75.28174315358417,46.0,20.364013671875,2.0,1.5,3.6,3.8,38.566190821569904,70.70468317287815,57.84928623235485,115.6985724647097,35.77,127.13,지점 격자 예보,"[정상] 3시간 최대 3.6mm / 지역 주의기준 38.6mm, 12시간 최대 3.8mm / 지역 주의기준 70.7mm."
정상,35.79539926171999,127.09001541137695,74.85767011357761,41.0,19.81142807006836,2.0,1.0,1.5,1.5999999999999999,38.617079586370686,70.79797924167958,57.925619379556025,115.85123875911205,35.8,127.09,지점 격자 예보,"[정상] 3시간 최대 1.5mm / 지역 주의기준 38.6mm, 12시간 최대 1.6mm / 지역 주의기준 70.8mm."
정상,35.8031961172245,127.1476936340332,74.41940249433429,61.0,24.75135040283203,2.0,1.8,2.9,3.0,38.669671700679885,70.89439811791311,58.00450755101982,116.00901510203964,35.8,127.15,지점 격자 예보,"[정상] 3시간 최대 2.9mm / 지역 주의기준 38.7mm, 12시간 최대 3.0mm / 지역 주의기준 70.9mm."
정상,35.83437588621187,127.09962844848631,73.47784926736037,33.0,16.281967163085938,2.0,3.1,4.9,4.9,38.78265808791675,71.10153982784738,58.17398713187513,116.34797426375026,35.83,127.1,지점 격자 예보,"[정상] 3시간 최대 4.9mm / 지역 주의기준 38.8mm, 12시간 최대 4.9mm / 지역 주의기준 71.1mm."
정상,35.857752675335576,127.02959060668944,71.9143567281052,11.0,9.94293975830078,3.0,0.2,0.5,0.5,36.411360566650814,66.75416103885983,54.61704084997623,109.23408169995245,35.86,127.03,지점 격자 예보,"[정상] 3시간 최대 0.5mm / 지역 주의기준 36.4mm, 12시간 최대 0.5mm / 지역 주의기준 66.8mm."
정상,35.87333337294744,127.08726882934567,70.31380878195021,10.0,5.362882614135742,3.0,1.3,1.9000000000000001,1.9000000000000001,39.90106746398824,73.15195701731177,59.851601195982354,119.70320239196471,35.87,127.09,지점 격자 예보,"[정상] 3시간 최대 1.9mm / 지역 주의기준 39.9mm, 12시간 최대 1.9mm / 지역 주의기준 73.2mm."
정상,35.865543407034444,127.08726882934567,70.29156331352289,12.0,7.674745559692383,3.0,1.3,1.9000000000000001,1.9000000000000001,38.239195599398734,70.10519193223102,57.358793399098104,114.71758679819621,35.87,127.09,지점 격자 예보,"[정상] 3시간 최대 1.9mm / 지역 주의기준 38.2mm, 12시간 최대 1.9mm / 지역 주의기준 70.1mm."
정상,35.87333337294744,127.1092414855957,69.90768997500285,13.0,6.284463882446289,3.0,3.1,4.9,4.9,39.28626320763833,72.02481588067027,58.92939481145749,117.85878962291498,35.87,127.11,지점 격자 예보,"[정상] 3시간 최대 4.9mm / 지역 주의기준 39.3mm, 12시간 최대 4.9mm / 지역 주의기준 72.0mm."
정상,35.87333337294744,127.01997756958008,68.45548778634179,7.0,2.196584701538086,3.0,0.2,0.5,0.5,42.403800480531565,77.74030088097454,63.60570072079735,127.2114014415947,35.87,127.02,지점 격자 예보,"[정상] 3시간 최대 0.5mm / 지역 주의기준 42.4mm, 12시간 최대 0.5mm / 지역 주의기준 77.7mm."
정상,35.88112257300586,127.0488166809082,68.44240892758468,8.0,3.168680191040039,3.0,1.9,2.6999999999999997,2.6999999999999997,41.705461191141005,76.46001218375851,62.55819178671151,125.11638357342302,35.88,127.05,지점 격자 예보,"[정상] 3시간 최대 2.7mm / 지역 주의기준 41.7mm, 12시간 최대 2.7mm / 지역 주의기준 76.5mm."
정상,35.865543407034444,127.09001541137695,68.25104009640621,10.0,5.225306510925293,3.0,1.3,1.9000000000000001,1.9000000000000001,40.24765450056504,73.78736658436924,60.371481750847565,120.74296350169513,35.87,127.09,지점 격자 예보,"[정상] 3시간 최대 1.9mm / 지역 주의기준 40.2mm, 12시간 최대 1.9mm / 지역 주의기준 73.8mm."
정상,35.888911007141054,127.05842971801758,67.93685686729714,7.0,2.40571403503418,3.0,1.9,2.6999999999999997,2.6999999999999997,42.315463070699735,77.57834896294952,63.4731946060496,126.9463892120992,35.89,127.06,지점 격자 예보,"[정상] 3시간 최대 2.7mm / 지역 주의기준 42.3mm, 12시간 최대 2.7mm / 지역 주의기준 77.6mm."
정상,35.888911007141054,127.1092414855957,67.54875637333863,14.0,2.905305862426758,3.0,2.9,4.4,4.4,42.00232901425209,77.00426985946217,63.00349352137814,126.00698704275628,35.89,127.11,지점 격자 예보,"[정상] 3시간 최대 4.4mm / 지역 주의기준 42.0mm, 12시간 최대 4.4mm / 지역 주의기준 77.0mm."
정상,35.88112257300586,127.06804275512695,66.94354360659125,7.0,3.8821325302124015,3.0,1.9,2.6999999999999997,2.6999999999999997,41.37163934545612,75.84800546666955,62.057459018184176,124.11491803636835,35.88,127.07,지점 격자 예보,"[정상] 3시간 최대 2.7mm / 지역 주의기준 41.4mm, 12시간 최대 2.7mm / 지역 주의기준 75.8mm."
